iter	Logloss
0	0.5495580348
1	0.452142522
2	0.379696076
3	0.3319582503
4	0.2700442148
5	0.2313359341
6	0.2001574343
7	0.1741914575
8	0.1581484908
9	0.1462601951
10	0.137701229
11	0.1319312997
12	0.1216818996
13	0.117398646
14	0.111069383
15	0.1041915506
16	0.09949101142
17	0.09481715429
18	0.08923185886
19	0.08738039273
20	0.08388940836
21	0.08165567375
22	0.08053781564
23	0.07592495663
24	0.07165737848
25	0.07047784156
26	0.06920889411
27	0.06655389792
28	0.06407978176
29	0.06358339285
30	0.06224915235
31	0.06057927893
32	0.0584857226
33	0.05720910004
34	0.05384282398
35	0.05243627882
36	0.05184877984
37	0.05076178707
38	0.05027424446
39	0.04836619252
40	0.04695521928
41	0.04657093137
42	0.04579945389
43	0.04474622948
44	0.04458693461
45	0.04295856959
46	0.0423571942
47	0.04154549335
48	0.04109288223
49	0.04052788063
50	0.04001114319
51	0.03930731509
52	0.03880705344
53	0.03834262459
54	0.03687601049
55	0.03665085872
56	0.03613548701
57	0.03466629607
58	0.03392743341
59	0.03383802741
60	0.03311855953
61	0.03242114481
62	0.03233516924
63	0.03202376919
64	0.03182229682
65	0.03144754848
66	0.03121830484
67	0.03106470011
68	0.02966893262
69	0.02943113007
70	0.02858330503
71	0.02844061576
72	0.02806180897
73	0.02736166292
74	0.02659076821
75	0.02596373534
76	0.02504985616
77	0.02414000796
78	0.02381175047
79	0.02277936824
80	0.02273834042
81	0.02266397994
82	0.02196195952
83	0.0212193253
84	0.02079966755
85	0.02059352413
86	0.02045998998
87	0.0199518477
88	0.01941989344
89	0.01898148802
90	0.01860299714
91	0.01856110755
92	0.01842833794
93	0.0179458656
94	0.01766912692
95	0.01717522713
96	0.01664538105
97	0.01625853103
98	0.01605086173
99	0.01575811271
100	0.01553676287
101	0.01533825001
102	0.01521725975
103	0.01462332001
104	0.01450764773
105	0.01422404507
106	0.01403653208
107	0.01401529575
108	0.01370072971
109	0.01345695846
110	0.01336298336
111	0.01316627212
112	0.01300188833
113	0.01295399158
114	0.01288159707
115	0.0126211748
116	0.01238393699
117	0.01234663382
118	0.01226809737
119	0.01206491997
120	0.01185640935
121	0.01182613473
122	0.01161735805
123	0.01152396169
124	0.01141974934
125	0.01139869088
126	0.0112410498
127	0.0110086727
128	0.01095612518
129	0.01088490034
130	0.01077868737
131	0.0105813143
132	0.01038853495
133	0.01030703861
134	0.01001755393
135	0.009916469522
136	0.009858142024
137	0.009816173295
138	0.009728774828
139	0.0095647717
140	0.00945750714
141	0.00932921594
142	0.00929621809
143	0.00928449285
144	0.00927891076
145	0.009170504905
146	0.009170496792
147	0.009152246594
148	0.009152245098
149	0.008916857661
150	0.008916822122
151	0.008719013823
152	0.008663800022
153	0.008539846326
154	0.008519233978
155	0.008519230189
156	0.008472915074
157	0.008387170892
158	0.008253820038
159	0.008250839032
160	0.008127674473
161	0.007970361394
162	0.007839394092
163	0.007773581598
164	0.007748827345
165	0.007716335602
166	0.007711087741
167	0.007659235325
168	0.00763340095
169	0.007529805571
170	0.007501942341
171	0.007433573703
172	0.007379421338
173	0.007249400582
174	0.007178673147
175	0.007079131425
176	0.006992935115
177	0.006992916135
178	0.006923322393
179	0.00683674669
180	0.00677140009
181	0.006636321233
182	0.006527191261
183	0.006499922621
184	0.00648393029
185	0.00643605098
186	0.006375594572
187	0.006341518329
188	0.006338874239
189	0.006277649211
190	0.006275177505
191	0.00622169038
192	0.006189336158
193	0.006189237839
194	0.006189218759
195	0.006128475688
196	0.006119608021
197	0.006034370901
198	0.005985002796
199	0.005942110048
200	0.005867489571
201	0.005867488287
202	0.00585662075
203	0.005804257641
204	0.005722319718
205	0.005680018793
206	0.00554115584
207	0.005487739922
208	0.005469308009
209	0.005414153335
210	0.005375319966
211	0.005324311659
212	0.005324067303
213	0.005324050576
214	0.005298513181
215	0.005256563865
216	0.005198010264
217	0.005175350993
218	0.005122285204
219	0.005122250591
220	0.005078293537
221	0.005078286069
222	0.005056563366
223	0.005024888107
224	0.004989662326
225	0.004989651541
226	0.004956794693
227	0.004951627583
228	0.004902234683
229	0.004867580818
230	0.004839786558
231	0.004798765424
232	0.004772993493
233	0.004719006292
234	0.004675235129
235	0.004657788879
236	0.004620871745
237	0.004591624011
238	0.004540006954
239	0.004512475506
240	0.00449485431
241	0.004494851825
242	0.004490238367
243	0.00447359852
244	0.004431359517
245	0.004414487552
246	0.004414207429
247	0.004414190937
248	0.004369080933
249	0.00435584008
250	0.004355685055
251	0.004333794461
252	0.004333782741
253	0.004271106376
254	0.004250434808
255	0.004231091716
256	0.004221223287
257	0.004221202486
258	0.004203208417
259	0.004166046937
260	0.004143949145
261	0.004130670478
262	0.004108658036
263	0.004108643749
264	0.004092798346
265	0.004068116
266	0.004022180035
267	0.004016022963
